,FTR,B365H,B365D,B365A,PSH,PSD,PSA,WHH,WHD,WHA,BbAvH,BbAvD,BbAvA
0,1,2.0,3.6,4.0,1.95,3.65,4.27,1.91,3.5,4.0,1.96,3.48,3.98
1,2,1.36,5.0,11.0,1.39,4.92,10.39,1.4,4.0,10.0,1.37,4.66,9.57
2,2,1.7,3.9,5.5,1.7,3.95,5.62,1.73,3.5,5.0,1.69,3.76,5.25
3,3,1.95,3.5,4.33,1.99,3.48,4.34,2.0,3.1,2.7,1.96,3.37,4.06
4,3,1.65,4.0,6.0,1.65,4.09,5.9,1.62,3.6,6.0,1.63,3.9,5.65
5,1,2.55,3.3,3.0,2.52,3.35,3.08,2.6,3.1,2.88,2.53,3.21,2.92
6,1,1.29,6.0,12.0,1.31,5.75,12.0,1.3,5.0,11.0,1.29,5.53,10.75
7,2,2.88,3.3,2.7,2.88,3.33,2.69,2.7,3.1,2.7,2.79,3.23,2.63
8,1,3.4,3.4,2.3,3.48,3.46,2.25,3.3,3.1,2.3,3.33,3.33,2.24
9,1,5.75,4.0,1.67,5.75,3.98,1.68,5.5,3.5,1.7,5.46,3.85,1.66
10,1,5.5,3.8,1.73,5.66,3.83,1.72,5.5,3.6,1.75,5.37,3.67,1.71
11,1,1.95,3.6,4.33,1.98,3.6,4.21,2.0,3.25,4.0,1.95,3.45,4.09
12,1,2.5,3.3,3.1,2.52,3.35,3.08,2.5,3.0,3.0,2.47,3.2,3.01
13,3,1.95,3.6,4.33,1.94,3.66,4.3,1.95,3.2,4.33,1.92,3.51,4.11
14,2,1.8,3.75,5.0,1.79,3.75,5.09,1.8,3.3,5.0,1.77,3.66,4.8
15,2,2.3,3.4,3.4,2.25,3.41,3.54,2.3,3.2,3.2,2.25,3.3,3.33
16,1,2.25,3.5,3.4,2.25,3.52,3.42,2.3,3.2,3.2,2.25,3.36,3.27
17,1,5.25,3.9,1.73,5.34,3.97,1.72,5.0,3.5,1.75,5.0,3.78,1.71
18,3,2.1,3.5,3.75,2.08,3.56,3.87,2.15,3.2,3.6,2.09,3.4,3.66
19,3,1.45,4.75,8.0,1.44,4.74,8.6,1.5,4.2,6.5,1.44,4.46,7.71
20,3,1.85,3.6,4.75,1.85,3.63,4.89,1.85,3.4,4.5,1.83,3.52,4.52
21,2,2.63,3.6,2.75,2.69,3.52,2.75,2.7,3.1,2.7,2.63,3.38,2.67
22,2,1.36,5.25,10.0,1.39,5.15,9.62,1.36,5.0,8.0,1.36,4.91,8.9
23,2,2.3,3.3,3.5,2.34,3.39,3.37,2.3,3.2,3.1,2.3,3.27,3.22
24,2,4.0,3.4,2.1,3.79,3.45,2.14,3.75,3.2,2.1,3.74,3.33,2.07
25,1,2.38,3.4,3.2,2.43,3.44,3.15,2.4,3.1,3.1,2.34,3.35,3.09
26,1,5.0,4.0,1.73,4.85,4.08,1.76,5.0,3.5,1.75,4.72,3.92,1.73
27,2,2.8,3.3,2.75,2.76,3.36,2.78,2.7,3.1,2.7,2.7,3.25,2.7
28,1,6.5,4.0,1.62,6.25,3.93,1.65,6.0,3.4,1.67,5.93,3.79,1.62
29,2,1.75,4.0,5.0,1.74,4.0,5.12,1.73,3.5,5.0,1.72,3.82,4.9
30,2,1.91,3.5,4.75,1.93,3.51,4.62,1.91,3.2,4.5,1.89,3.42,4.38
31,2,2.2,3.6,3.4,2.15,3.63,3.57,2.2,3.2,3.4,2.14,3.48,3.38
32,1,1.36,5.0,11.0,1.37,5.26,10.17,1.36,4.5,9.5,1.35,4.94,9.38
33,1,1.36,5.5,9.0,1.36,5.28,10.21,1.36,4.5,9.5,1.36,4.99,9.06
34,3,1.2,8.0,15.0,1.19,8.0,17.75,1.22,6.0,13.0,1.19,7.15,14.45
35,1,6.0,4.2,1.62,6.13,4.21,1.61,6.0,3.6,1.62,5.7,3.99,1.61
36,1,1.95,3.4,4.5,1.95,3.5,4.5,1.95,3.25,4.2,1.93,3.39,4.22
37,2,2.0,3.5,4.2,1.97,3.72,4.09,2.0,3.25,4.0,1.94,3.53,3.98
38,3,2.05,3.5,4.0,2.05,3.54,4.0,2.05,3.25,3.8,2.01,3.44,3.82
39,3,3.6,3.3,2.25,3.55,3.45,2.23,3.5,3.0,2.25,3.42,3.31,2.19
40,3,1.29,6.0,12.0,1.28,6.12,13.0,1.3,5.0,11.0,1.27,5.71,11.27
41,1,5.5,4.2,1.67,5.75,4.16,1.65,5.5,3.8,1.62,5.44,4.05,1.62
42,3,4.0,3.6,2.0,4.11,3.57,2.01,4.0,3.1,2.05,3.91,3.45,1.99
43,3,2.0,3.4,4.33,1.94,3.49,4.56,1.95,3.4,4.5,1.93,3.41,4.27
44,3,2.4,3.4,3.2,2.36,3.48,3.23,2.4,3.1,3.1,2.33,3.36,3.11
45,3,2.75,3.4,2.75,2.75,3.34,2.8,2.75,3.0,2.75,2.68,3.23,2.74
46,2,3.2,3.2,2.5,3.21,3.26,2.49,3.1,3.0,2.5,3.09,3.16,2.45
47,3,1.91,3.75,4.33,1.86,3.74,4.62,1.91,3.3,4.33,1.86,3.58,4.32
